cart_id,product,qty
1,Blue Frock,4
1,Generic Motorcycle,3
1,iPhone 6,3
1,Baseball Ball,2
2,Man Short Sleeve Shirt,5
2,Apple iPhone Charger,2
3,Fish Steak,1
3,iPhone 13 Pro,1
3,Realme X,1
3,Man Short Sleeve Shirt,5
3,Dior J'adore,2
3,Party Glasses,5
4,Sports Sneakers Off White Red,3
4,Dior J'adore,4
5,Samsung Galaxy Tab White,4
5,Soft Drinks,4
5,Powder Canister,4
6,Rolex Datejust Women,5
6,Realme XT,1
6,Classic Sun Glasses,4
6,Water,4
7,Electric Stove,1
7,Vivo X21,1
7,Dolce Shine Eau de,2
7,Vaseline Men Body and Face Lotion,4
7,Electric Stove,1
7,Puma Future Rider Trainers,5
8,Cat Food,2
8,Black Whisk,3
8,Blue Frock,4
8,Annibale Colombo Bed,3
8,iPhone 12 Silicone Case with MagSafe Plum,4
8,Apple Watch Series 4 Gold,1
9,Essence Mascara Lash Princess,3
9,Rolex Submariner Watch,2
9,Samsung Galaxy S8,3
9,Puma Future Rider Trainers,2
10,Tissue Paper Box,1
10,iPhone 12 Silicone Case with MagSafe Plum,5
11,MotoGP CI.H1,4
11,Apple AirPods Max Silver,2
11,Egg Slicer,4
11,Green Bell Pepper,3
11,Samsung Galaxy Tab White,2
12,Sportbike Motorcycle,1
12,Ice Cream,5
12,Rolex Submariner Watch,2
12,Dior J'adore,1
12,Blue Frock,5
12,Knoll Saarinen Executive Conference Chair,4
13,Potatoes,2
13,Eggs,4
14,Family Tree Photo Frame,4
14,Pan,1
14,Lunch Box,5
15,Hand Blender,2
15,Apple MagSafe Battery Pack,1
15,Basketball Rim,2
16,Cooking Oil,5
16,Sports Sneakers Off White & Red,3
17,iPhone 13 Pro,5
17,American Football,1
17,Green Bell Pepper,5
17,Green Chili Pepper,5
18,Dodge Hornet GT Plus,5
18,Watch Gold for Women,5
19,Dog Food,3
19,Electric Stove,1
19,Rolex Datejust,2
19,Silver Pot With Glass Cap,1
19,Plate,5
20,iPhone 13 Pro,4
20,Protein Powder,3
20,Feather Shuttlecock,2
20,Nike Baseball Cleats,3
21,Asus Zenbook Pro Dual Screen Laptop,1
21,Gray Dress,4
21,Rolex Datejust Women,1
22,Apple,4
22,Sports Sneakers Off White Red,2
22,Tartan Dress,2
23,Oppo K1,5
23,Vivo S1,4
24,Sportbike Motorcycle,4
24,Realme C35,2
25,Milk,2
25,Apple Watch Series 4 Gold,3
25,Potatoes,5
25,Selfie Lamp with iPhone,4
25,Apple HomePod Mini Cosmic Grey,1
26,iPhone 6,3
26,Kitchen Sieve,4
26,iPhone 12 Silicone Case with MagSafe Plum,4
26,Volleyball,5
27,Rolex Datejust Women,4
27,Rolex Datejust,5
27,Cooking Oil,3
27,Generic Motorcycle,3
28,Green Crystal Earring,5
28,Knife,2
28,Plant Pot,3
28,Black & Brown Slipper,5
28,White Faux Leather Backpack,3
28,Lenovo Yoga 920,5
29,Prada Women Bag,3
29,Apple Airpower Wireless Charger,5
29,Bamboo Spatula,5
29,Basketball Rim,3
30,Cricket Bat,1
30,Vivo V9,2
30,Oppo F19 Pro Plus,1
30,Yellow Peeler,1
30,Powder Canister,5
30,Durango SXT RWD,5
